"fishID","Lifestage","roi","sr87sr86_roi_mean","sr87sr86_roi_sd"
"23-290","Adult","Core",0.715786945746792,0.00013991309953866
"23-290","Adult","Profile",0.712462324388398,0.000983587254208992
"23-290","Adult","Natal",0.713308983529779,0.000132322000593961
"23-290","Adult","Adult",0.710069956763542,0.00117450125798142
"23-291","Adult","Core",0.714276301724676,0.000205729430391522
"23-291","Adult","Profile",0.714954371553136,0.000167172515388086
"23-291","Adult","Natal",0.715461086658722,0.000126410201205871
"23-291","Adult","Adult",0.709444112482138,0.000813715153226308
"23-293","Adult","Core",0.713954029061905,0.000447347083973566
"23-293","Adult","Profile",0.713696958405944,0.00077013009153297
"23-293","Adult","Natal",0.716008531238801,0.0003325053853187
"23-293","Adult","Adult",0.709820512845784,0.00174556959883684
"23-294","Adult","Profile",0.715101847181945,0.000244924855622627
"23-294","Adult","Natal",0.719105222989654,6.08073111738064e-05
"23-294","Adult","Adult",0.709973968477301,0.00235834302742538
"23-294","Adult","Core",0.714099807827385,0.000835809952834893
"23-295","Adult","Core",0.7113195452623,0.000271083478329552
"23-295","Adult","Profile",0.71266511850969,0.000566060527307064
"23-295","Adult","Natal",0.713777979092993,9.86126490248671e-05
"23-295","Adult","Adult",0.709424784597108,0.000870496650127978
"23-297","Adult","Core",0.711467406589275,6.30847837071345e-05
"23-297","Adult","Profile",0.711910467484371,0.000263289105106836
"23-297","Adult","Natal",0.712825220561551,0.000188261604405316
"23-297","Adult","Adult",0.709368384240317,0.000540955958426621
"23-298","Adult","Core",0.712665040845652,0.00153282068933857
"23-298","Adult","Adult",0.70919074741027,0.000300620053666141
"23-300","Adult","Profile",0.7118046269735,0.00154219655398465
"23-300","Adult","Natal",0.71760146832815,8.0912761839843e-05
"23-300","Adult","Adult",0.709530406759332,0.00135024612310127
"23-300","Adult","Core",0.709229949163576,3.38676011031662e-05
"23-301","Adult","Core",0.710637391853008,0.00108435081067148
"23-301","Adult","Profile",0.71447745397142,0.00104119141564873
"23-301","Adult","Natal",0.716371509825584,0.000176169096943404
"23-301","Adult","Adult",0.709717739968176,0.00134674538293533
"23-303","Adult","Core",0.715939531182961,6.00322255700775e-05
"23-303","Adult","Profile",0.715845167202806,7.03696981409626e-06
"23-303","Adult","Natal",0.715741604611075,8.66604988812066e-05
"23-303","Adult","Adult",0.710416884781357,0.00188222864221919
"23-304","Adult","Core",0.712565929834415,0.000285772358595289
"23-304","Adult","Profile",0.714101977783207,0.00141383687033611
"23-304","Adult","Natal",0.717381804064941,0.000130687158991192
