"fishID","Lifestage","roi","sr87sr86_roi_mean","sr87sr86_roi_sd","classification"
"23-290","Adult","Natal",0.713308983529779,0.000132322000593961,"Non-local"
"23-291","Adult","Natal",0.715461086658722,0.000126410201205871,"Non-local"
"23-293","Adult","Natal",0.716008531238801,0.0003325053853187,"Non-local"
"23-294","Adult","Natal",0.719105222989654,6.08073111738064e-05,"Non-local"
"23-295","Adult","Natal",0.713777979092993,9.86126490248671e-05,"Non-local"
"23-297","Adult","Natal",0.712825220561551,0.000188261604405316,"Non-local"
"23-300","Adult","Natal",0.71760146832815,8.0912761839843e-05,"Non-local"
"23-301","Adult","Natal",0.716371509825584,0.000176169096943404,"Non-local"
"23-303","Adult","Natal",0.715741604611075,8.66604988812066e-05,"Non-local"
"23-304","Adult","Natal",0.717381804064941,0.000130687158991192,"Non-local"
"23-305","Adult","Natal",0.716291390999778,1.05803673925616e-05,"Non-local"
"23-306","Adult","Natal",0.716387741695677,0.00020971023507327,"Non-local"
"23-308","Adult","Natal",0.713830596650156,0.000176872281848555,"Non-local"
"23-309","Adult","Natal",0.715565824392226,0.00014180582069465,"Non-local"
"23-310","Adult","Natal",0.715919280080967,4.0209665169301e-05,"Non-local"
"23-311","Adult","Natal",0.715429422592073,0.000280603285632342,"Non-local"
"23-312","Adult","Natal",0.715888241625531,9.49567087923544e-05,"Non-local"
"23-315","Adult","Natal",0.714759253676736,0.000319376150789348,"Non-local"
"23-318","Adult","Natal",0.715041399468787,9.08035770261427e-05,"Non-local"
"23-322","Adult","Natal",0.716466444590343,0.000242340542794604,"Non-local"
"23-323","Adult","Natal",0.721072091045441,0.000249994504585287,"Local"
"23-325","Adult","Natal",0.719451902519436,4.25736199182362e-05,"Local"
"23-327","Adult","Natal",0.719573309224261,9.26235776939817e-05,"Local"
"23-328","Adult","Natal",0.714651741123639,0.00013417463851588,"Non-local"
"23-329","Adult","Natal",0.717903239229603,0.000149749666805005,"Non-local"
"23-330","Adult","Natal",0.71807218155622,9.21865075469544e-05,"Non-local"
"23-332","Adult","Natal",0.715734445882846,8.69264556377528e-05,"Non-local"
"23-333","Adult","Natal",0.71542434006678,9.03125971508296e-05,"Non-local"
"23-334","Adult","Natal",0.714876822435103,0.000135299270492908,"Non-local"
"23-335","Adult","Natal",0.713803360141006,3.91303384977954e-05,"Non-local"
"23-336","Adult","Natal",0.715216333507366,0.000244544527622127,"Non-local"
"23-337","Adult","Natal",0.718610464453273,0.000107303714252554,"Non-local"
"23-339","Adult","Natal",0.713476123171677,0.000126518777399633,"Non-local"
"23-340","Adult","Natal",0.712597868230081,3.57412604121148e-05,"Non-local"
"23-342","Adult","Natal",0.712611955451169,0.000115569759543892,"Non-local"
"23-344","Adult","Natal",0.71480972564787,3.95657984666641e-05,"Non-local"
"KONG_22_0025","Juvenile","Natal",0.719294466137633,1.8988464615323e-05,"Local"
"KONG_22_0026","Juvenile","Natal",0.721679727610507,0.000680391707028166,"Local"
"KONG_22_0104","Juvenile","Natal",0.720580258235673,0.000522416212183424,"Local"
"KONG_22_0105","Juvenile","Natal",0.720060525583458,0.000148516340760262,"Local"
"KONG_22_0113","Juvenile","Natal",0.721446585934746,0.00147716476412265,"Local"
